Codigo,Nombre,Descripcion,Precio,Stock,Categoria
2709044-S,AMORTIGUADOR DEL. ,AMORTIGUADOR DEL. ESCALADE 07-14 AVALANCHE 1500 07-14 CHEYENNE 07-16 SILVERADO 1500 07-13 SILVERADO 2500 07-13 SUBURBAN 1500 07-14 TAHOE 07-14 TAHOE 4X4 07-14 SIERRA 1500 07-14 YUKON 1500 07-14,1127,5,General
2709052-S,AMORTIGUADOR DEL.,AMORTIGUADOR DEL. DER. BEAT 18-21 SPARK 11-15,847,5,General
2709053-S,AMORTIGUADOR DEL.,AMORTIGUADOR DEL. IZQ. BEAT 18-21 SPARK 11-15,847,5,General
2709054-S,AMORTIGUADOR TRAS. ,AMORTIGUADOR TRAS. BEAT 18-21 SPARK 11-15,535,5,General
2709055-S,AMORTIGUADOR TRAS.,AMORTIGUADOR TRAS. CRUZE 10-15,715,5,General
2709056-S,AMORTIGUADOR DEL. DER.,AMORTIGUADOR DEL. DER. CRUZE 10-15,1275,5,General
2709057-S,AMORTIGUADOR DEL. IZQ. ,AMORTIGUADOR DEL. IZQ. CRUZE 10-15,1275,5,General
2709064-S,AMORTIGUADOR DEL. DER. ,AMORTIGUADOR DEL. DER. SONIC 11-18,1093,5,General
2709065-S,AMORTIGUADOR DEL. IZQ. ,AMORTIGUADOR DEL. IZQ. SONIC 11-18,1093,5,General
2709066-S,AMORTIGUADOR TRAS.,AMORTIGUADOR TRAS. SONIC 11-18,624,5,General
2709073-S,AMORTIGUADOR DEL.,AMORTIGUADOR DEL. IZQ. EQUINOX 07-09 TORRENT 07-09 VUE 08-10 XL7 07-09 GAS,1240,5,General
2709074-S,AMORTIGUADOR DEL.,AMORTIGUADOR DEL. DER. EQUINOX 07-09 TORRENT 07-09 VUE 08-10 XL7 07-09 GAS,1240,5,General
2709075-S,AMORTIGUADOR DEL.,AMORTIGUADOR DEL. IZQ. CAPTIVA 08-10,1739,5,General
2709076-S,AMORTIGUADOR DEL. ,AMORTIGUADOR DEL. DER. CAPTIVA 08-10,1739,5,General
2709077-S,AMORTIGUADOR TRAS. ,AMORTIGUADOR TRAS. CAPTIVA 08-16 EQUINOX 07-17 TERRAIN 15-17,680,5,General
2709078-S,AMORTIGUADOR DEL. ,AMORTIGUADOR DEL. TORNADO 11-20,993,5,General
2709079-S,AMORTIGUADOR TRAS. ,AMORTIGUADOR TRAS. TORNADO 11-20,649,5,General
2709125-S,AMORTIGUADOR DEL. I,AMORTIGUADOR DEL. IZQ. AVEO II 18-22,1077,5,General
2709126-S,AMORTIGUADOR DEL.,AMORTIGUADOR DEL. DER. AVEO II 18-22,1077,5,General
2709127-S,AMORTIGUADOR TRAS.,AMORTIGUADOR TRAS. C/TOPE Y CUBRE POLVO AVEO II 18-22,715,5,General
3009005-S,AMORTIGUADOR DEL. IZQ.,AMORTIGUADOR DEL. IZQ. CALIBER 06-12 COMPASS 07-11 PATRIOT 07-11,1004,5,General
3009006-S,AMORTIGUADOR DEL. DER. ,AMORTIGUADOR DEL. DER. CALIBER 06-12 COMPASS 07-11 PATRIOT 07-11,1004,5,General
3009007-S,AMORTIGUADOR TRAS.,AMORTIGUADOR TRAS. CALIBER 06-12 COMPASS 07-11 PATRIOT 07-10,689,5,General
3009008-S,AMORTIGUADOR DEL. DER.,AMORTIGUADOR DEL. DER. ATTITUDE 06-11,1096,5,General
3009009-S,AMORTIGUADOR DEL. IZQ. ,AMORTIGUADOR DEL. IZQ. ATTITUDE 06-11,1096,5,General
3009025-S,AMORTIGUADOR TRAS. ,AMORTIGUADOR TRAS. GRAND CARAVAN 08-20 TOWN & COUNTRY 08-12 VOYAGER 08-12 CARAVAN 08-12 ROUTAN 09-14,653,5,General
3009026-S,AMORTIGUADOR DEL.,AMORTIGUADOR DEL. GRAND CARAVAN 08-20 TOWN & COUNTRY 08-17 VOYAGER 08-14 CARAVAN 08-15 ROUTAN 09-14,1350,5,General
3009027-S,AMORTIGUADOR DEL. IZQ. ,AMORTIGUADOR DEL. IZQ. CHRYSLER 200 12-14 CIRRUS 07-14 SEBRING 07-14 JOURNEY 08-20,1263,5,General
3009028-S,AMORTIGUADOR DEL. DER.,AMORTIGUADOR DEL. DER. CHRYSLER 200 12-14 CIRRUS 07-14 SEBRING 07-14 JOURNEY 08-20,1263,5,General
3009030-S,AMORTIGUADOR TRAS. ,AMORTIGUADOR TRAS. CIRRUS 07-14 SEBRING 07-14 AVENGER 07-15,775,5,General
3009034-S,AMORTIGUADOR DEL. DER.,AMORTIGUADOR DEL. DER. I10 11-14,931,5,General
3009035-S,AMORTIGUADOR DEL. IZQ. ,AMORTIGUADOR DEL. IZQ. I10 11-14,931,5,General
3009036-S,AMORTIGUADOR TRAS. ,AMORTIGUADOR TRAS. I10 11-14,584,5,General
3009047-S,AMORTIGUADOR TRAS. ,AMORTIGUADOR TRAS. ATTITUDE 12-14 GAS,566,5,General
4009010-S,AMORTIGUADOR DEL.,AMORTIGUADOR DEL. ECOSPORT 03-12,697,5,General
4009019-S,AMORTIGUADOR TRAS. ,AMORTIGUADOR TRAS. F-150 4X4 90-96 RANGER 04-12,530,5,General
4009022-S,AMORTIGUADOR DEL. DER. ,AMORTIGUADOR DEL. DER. FOCUS 07-11,1398,5,General
4009023-S,AMORTIGUADOR DEL. IZQ. ,AMORTIGUADOR DEL. IZQ. FOCUS 07-11,1398,5,General
4009024-S,AMORTIGUADOR TRAS.,AMORTIGUADOR TRAS. FOCUS 07-11 FOCUS EUROPA 07-11 MAZDA 3 10-11,627,5,General
4709014-S,AMORTIGUADOR DEL. DER. ,AMORTIGUADOR DEL. DER. MAZDA 2 11-14,958,5,General
4709015-S,AMORTIGUADOR DEL. IZQ. ,AMORTIGUADOR DEL. IZQ. MAZDA 2 11-14,958,5,General
4709016-S,AMORTIGUADOR TRAS.,AMORTIGUADOR TRAS. FIESTA 11-18 MAZDA 2 11-14,761,5,General
4709025-S,AMORTIGUADOR DEL. IZQ. ,AMORTIGUADOR DEL. IZQ. CX-5 13-17 GAS,882,5,General
4709026-S,AMORTIGUADOR DEL. DER.,AMORTIGUADOR DEL. DER. CX-5 13-17 GAS,882,5,General
4709031-S,AMORTIGUADOR DEL. IZQ. ,AMORTIGUADOR DEL. IZQ. MAZDA 3 14-18,1040,5,General
4709032-S,AMORTIGUADOR DEL. DER. ,AMORTIGUADOR DEL. DER. MAZDA 3 14-18,1040,5,General
4709033-S,AMORTIGUADOR TRAS. C/TOPE ,AMORTIGUADOR TRAS. C/TOPE MAZDA 3 14-18,674,5,General
4709048-S,AMORTIGUADOR TRAS. ,AMORTIGUADOR TRAS. MAZDA 3 12-13 GAS,595,5,General
4709053-S,AMORTIGUADOR TRAS. ,AMORTIGUADOR TRAS. MAZDA 3 19-20 GAS,754,5,General
4709057-S,AMORTIGUADOR TRAS. ,AMORTIGUADOR TRAS. BUJE 14MM CX-5 13-20 GAS,704,5,General
5009003-S,AMORTIGUADOR DEL. IZQ. ,AMORTIGUADOR DEL. IZQ. CIVIC 06-11 CRX 06-10,1055,5,General
5009004-S,AMORTIGUADOR DEL. DER. ,AMORTIGUADOR DEL. DER. CIVIC 06-11 CRX 06-10,1055,5,General
5009005-S,AMORTIGUADOR TRAS. ,AMORTIGUADOR TRAS. CIVIC 06-11 CRX 06-10,798,5,General
5009009-S,AMORTIGUADOR DEL. IZQ. ,AMORTIGUADOR DEL. IZQ. CR-V 07-17,1568,5,General
5009010-S,AMORTIGUADOR DEL. DER.,AMORTIGUADOR DEL. DER. CR-V 07-17,1568,5,General
5009034-S,AMORTIGUADOR TRAS. ,AMORTIGUADOR TRAS. CR-V 12-17,1021,5,General
5009058-S,AMORTIGUADOR DEL. DER. C/TOPE  ,AMORTIGUADOR DEL. DER. C/TOPE    HR-V 15-20  GAS,955,5,General
5009059-S,AMORTIGUADOR DEL. IZQ. C/TOPE  ,AMORTIGUADOR DEL. IZQ. C/TOPE    HR-V 15-20  GAS,955,5,General
5009060-S,AMORTIGUADOR TRAS. ,AMORTIGUADOR TRAS. HR-V 15-20 GAS,686,5,General
5009076-S,AMORTIGUADOR DEL. DER. ,AMORTIGUADOR DEL. DER. CR-V 17-21 GAS,922,5,General
5009077-S,AMORTIGUADOR DEL. IZQ. ,AMORTIGUADOR DEL. IZQ. CR-V 17-21 GAS,922,5,General
5309015-S,AMORTIGUADOR DEL. IZQ. ,AMORTIGUADOR DEL. IZQ. ACCENT 18-19 RIO 18-23,1251,5,General
5309016-S,AMORTIGUADOR DEL. DER.,AMORTIGUADOR DEL. DER. ACCENT 18-19 RIO 18-23,1251,5,General
5309017-S,AMORTIGUADOR TRAS.,AMORTIGUADOR TRAS. ACCENT 18-19 RIO 18-23,859,5,General
5909004-S,AMORTIGUADOR DEL. DER. ,AMORTIGUADOR DEL. DER. FORTE 14-18 GAS,1077,5,General
5909005-S,AMORTIGUADOR DEL. IZQ. ,AMORTIGUADOR DEL. IZQ. FORTE 14-18 GAS,1077,5,General
5909006-S,AMORTIGUADOR TRAS. ,AMORTIGUADOR TRAS. FORTE 14-18 GAS,696,5,General
5909007-S,AMORTIGUADOR DEL. IZQ. ,AMORTIGUADOR DEL. IZQ. RIO 15-17 ACCENT 12-17 ATTITUDE 12-14 GAS,980,5,General
5909008-S,AMORTIGUADOR DEL. DER. ,AMORTIGUADOR DEL. DER. RIO 15-17 ACCENT 12-17 ATTITUDE 12-14 GAS,980,5,General
6409037-S,AMORTIGUADOR TRAS. ,AMORTIGUADOR TRAS. ATTITUDE 15-24 ATTRAGE 16-17 MIRAGE 15-24 MIRAGE G4 17-24,755,5,General
6409038-S,AMORTIGUADOR DEL. ,AMORTIGUADOR DEL. ATTITUDE 15-24 ATTRAGE 16-17 MIRAGE 15-24 MIRAGE G4 17-24,860,5,General
6709003-S,AMORTIGUADOR DEL. ,AMORTIGUADOR DEL. IZQ. ALTIMA 02-06 MAXIMA 04-08,1033,5,General
6709004-S,AMORTIGUADOR DEL. DER. ,AMORTIGUADOR DEL. DER. ALTIMA 02-06 MAXIMA 04-08,1033,5,General
6709005-S,AMORTIGUADOR TRAS. ,AMORTIGUADOR TRAS. ALTIMA 02-06,513,5,General
6709016-S,AMORTIGUADOR TRAS. ,AMORTIGUADOR TRAS. TIIDA 06-18 VERSA USA 07-12,633,5,General
6709017-S,AMORTIGUADOR DEL. ,AMORTIGUADOR DEL. IZQ. TIIDA 06-18 VERSA USA 07-12,861,5,General
6709018-S,AMORTIGUADOR DEL. DER. ,AMORTIGUADOR DEL. DER. TIIDA 06-18 VERSA USA 07-12,861,5,General
6709019-S,AMORTIGUADOR DEL. IZQ. ,AMORTIGUADOR DEL. IZQ. SENTRA 07-12,918,5,General
6709020-S,AMORTIGUADOR DEL. DER. ,AMORTIGUADOR DEL. DER. SENTRA 07-12,918,5,General
6709021-S,AMORTIGUADOR TRAS. ,AMORTIGUADOR TRAS. SENTRA 07-12,707,5,General
6709025-S,AMORTIGUADOR DEL. IZQ. ,AMORTIGUADOR DEL. IZQ. ROGUE 08-14 X-TRAIL 08-14 KOLEOS 09-14,1381,5,General
6709026-S,AMORTIGUADOR DEL. DER,AMORTIGUADOR DEL. DER. ROGUE 08-14 X-TRAIL 08-14 KOLEOS 09-14,1381,5,General
6709037-S,AMORTIGUADOR TRAS.,AMORTIGUADOR TRAS. C-20 63-66 SUBURBAN C10 63-66 SUBURBAN C20 63-66 SUBURBAN C-20 63-66 VAN G-20 71-72 NP300 4X2 09-15,463,5,General
6709038-S,AMORTIGUADOR DEL. ,AMORTIGUADOR DEL. NP300 4X2 09-15 NP300 4X2 09-15,384,5,General
6709052-S,AMORTIGUADOR DEL. DER. ,AMORTIGUADOR DEL. DER. CON SERCHA PARA TONILLO ESTAB. MARCH 11-25 NOTE 12-18 V-DRIVE 20-24 VERSA 12-19,1053,5,General
6709053-S,AMORTIGUADOR DEL. IZQ. ,AMORTIGUADOR DEL. IZQ. CON SERCHA PARA TONILLO ESTAB. MARCH 11-25 NOTE 12-18 V-DRIVE 20-24 VERSA 12-19,1053,5,General
6709054-S,AMORTIGUADOR TRAS.,AMORTIGUADOR TRAS. MARCH 11-25 NOTE 12-18 V-DRIVE 20-24 VERSA 12-19,707,5,General
6709055-S,AMORTIGUADOR DEL. IZQ. C/TOPE MARCH ,AMORTIGUADOR DEL. IZQ. C/TOPE MARCH 12-14 NOTE GAS,919,5,General
6709056-S,AMORTIGUADOR DEL. DER. C/TOPE,AMORTIGUADOR DEL. DER. C/TOPE MARCH 12-14 NOTE GAS,919,5,General
6709063-S,AMORTIGUADOR DEL. IZQ. ,AMORTIGUADOR DEL. IZQ. SENTRA 13-14,1124,5,General
6709064-S,AMORTIGUADOR DEL. DER.,AMORTIGUADOR DEL. DER. SENTRA 13-14,1124,5,General
6709065-S,AMORTIGUADOR TRAS.,AMORTIGUADOR TRAS. SENTRA 13-19,660,5,General
6709089-S,AMORTIGUADOR DEL. IZQ.,AMORTIGUADOR DEL. IZQ. KICKS 17-20 GAS,857,5,General
6709090-S,AMORTIGUADOR DEL. DER. ,AMORTIGUADOR DEL. DER. KICKS 17-20 GAS,857,5,General
6709091-S,AMORTIGUADOR TRAS.,AMORTIGUADOR TRAS. KICKS 17-20 GAS,540,5,General
6709108-S,AMORTIGUADOR DEL. DER. ,AMORTIGUADOR DEL. DER. SENTRA 15-19,1140,5,General
6709109-S,AMORTIGUADOR DEL.,AMORTIGUADOR DEL. IZQ. SENTRA 15-19,1140,5,General
6709120-S,AMORTIGUADOR DEL. ,AMORTIGUADOR DEL. FRONTIER V6 21-23 NP300 4X2 16-24 NP300 4X4 16-18 NP300 FRONTIER 16-24,722,5,General
6709121-S,AMORTIGUADOR TRAS. ,AMORTIGUADOR TRAS. FRONTIER V6 21-23 NP300 4X2 16-24 NP300 4X4 16-18 NP300 FRONTIER 16-24,495,5,General
7509009-S,AMORTIGUADOR TRAS. ,AMORTIGUADOR TRAS. DUSTER RENAULT 11-23,791,5,General
7509016-S,AMORTIGUADOR DEL. C,AMORTIGUADOR DEL. CAPTUR 17-23 DUSTER RENAULT 11-23 OROCH 18-24,909,5,General
8409014-S,AMORTIGUADOR DEL. DER.,AMORTIGUADOR DEL. DER. SWIFT 18-19 GAS,1161,5,General
8409015-S,AMORTIGUADOR DEL.,AMORTIGUADOR DEL. IZQ. SWIFT 18-19 GAS,1161,5,General
8409016-S,AMORTIGUADOR TRAS. ,AMORTIGUADOR TRAS. SWIFT 18-19 GAS,551,5,General
8709016-S,AMORTIGUADOR DEL.,AMORTIGUADOR DEL. HIACE 04-20,514,5,General
8709017-S,AMORTIGUADOR TRAS. ,AMORTIGUADOR TRAS. HIACE 04-20,489,5,General
8709018-S,AMORTIGUADOR DEL.,AMORTIGUADOR DEL. HILUX 06-19,824,5,General
8709019-S,AMORTIGUADOR TRAS.,AMORTIGUADOR TRAS. HILUX 06-11 HILUX 4X4 06-11,579,5,General
8709032-S,AMORTIGUADOR TRAS. ,AMORTIGUADOR TRAS. RAV 4 06-14 GAS,489,5,General
8709055-S,AMORTIGUADOR TRAS. ,AMORTIGUADOR TRAS. HILUX 12-15 GAS,461,5,General
8709100-S,AMORTIGUADOR DEL. DER.,AMORTIGUADOR DEL. DER. RAV 4 13-16 GAS,1457,5,General
8709101-S,AMORTIGUADOR DEL.,AMORTIGUADOR DEL. IZQ. RAV 4 13-16 GAS,1457,5,General
8709157-S,AMORTIGUADOR DEL. IZQ.,AMORTIGUADOR DEL. IZQ. HILUX 12-17 CABINA SENCILLA 2.7L HILUX 4X4 GAS,792,5,General
8709158-S,AMORTIGUADOR DEL. DER.,AMORTIGUADOR DEL. DER. HILUX 12-17 CABINA SENCILLA 2.7L HILUX 4X4 GAS,792,5,General
9309001-S,AMORTIGUADOR TRAS.,AMORTIGUADOR TRAS. CORDOBA(SEAT) 03-08 IBIZA 03-17 LUPO 04-08 POLO 04-08 POLO 14-22,420,5,General
9309002-S,AMORTIGUADOR DEL.,AMORTIGUADOR DEL. CORDOBA(SEAT) 03-08 IBIZA 03-09 GOL 09-21 LUPO 04-08 POLO 04-08,815,5,General
9309003-S,AMORTIGUADOR TRAS. BUJE 14MM C/TOPE ,AMORTIGUADOR TRAS. BUJE 14MM C/TOPE A3 03-12 Q3 13-23 ALTEA 08-15 CUPRA 14-18 LEON 06-13 TOLEDO 06-12 BEETLE 12-19 BORA 06-10 GOLF A5 06-09 GOLF A6 10-12 GOLF GTI 10-13 JETTA A5 06-10 JETTA A6 10-18 JETTA A7 15-19 PASSAT 05-18 PASSAT CC 08-15 SPORTWAGEN 10-11,486,5,General
9309004-S,AMORTIGUADOR DEL. 55 MM AL MANGO,AMORTIGUADOR DEL. 55 MM AL MANGO A3 03-12 Q3 13-23 ALTEA 08-15 CUPRA 14-18 FREETRACK 09-14 LEON 06-13 TOLEDO 06-12 BEETLE 12-19 BORA 05-11 CADDY 14-23 GOLF A5 06-09 GOLF A6 10-12 GOLF GTI 10-13 JETTA A5 06-10 JETTA A6 10-18 JETTA A7 15-19 PASSAT 05-18 PASSAT CC 09-15 SPORTWAGEN 10-11 TIGUAN 12-17,915,5,General
9309013-S,AMORTIGUADOR DEL. ,"AMORTIGUADOR DEL. A5 TDI55MM BORA 06-11 A3 04-13
NEW JETTA TDI 10-13 GAS",789,5,General
9309014-S,AMORTIGUADOR TRAS. ,"AMORTIGUADOR TRAS. BUJE 10MM EJE TRAS.RIGIDO JETTA A8 10-14 BEETLE 12-15 , LEON 08-13 GAS",591,5,General
9309015-S,AMORTIGUADOR DEL. ,AMORTIGUADOR DEL. A1 11-18 IBIZA 10-17 TOLEDO 13-19 POLO 14-22 VENTO 14-22,1326,5,General
9309019-S,AMORTIGUADOR TRAS.,AMORTIGUADOR TRAS. TOLEDO 13-19 POLO 18-22 VENTO 14-22,528,5,General
9309030-S,AMORTIGUADOR DEL. C/TOPE ,AMORTIGUADOR DEL. C/TOPE SAVEIRO 12-15 GAS,1183,5,General
9309032-S,AMORTIGUADOR DEL. 50MM AL MANGO ,AMORTIGUADOR DEL. 50MM AL MANGO GOLF A7 15-17 SPORTWAGEN 15-17 GAS,685,5,General
9309033-S,AMORTIGUADOR TRAS. ,AMORTIGUADOR TRAS. GOL 09-21,617,5,General
G0010-S,AMORTIGUADOR DEL. ,AMORTIGUADOR DEL. NITRO 06-12 LIBERTY 01-13,1057,5,General
G0011-S,AMORTIGUADOR TRAS. ,AMORTIGUADOR TRAS. NITRO 06-12 LIBERTY 01-13,562,5,General
G2034-S,AMORTIGUADOR TRAS.,AMORTIGUADOR TRAS. BRASILIA 74-81 SEDAN VW 52-72 SEDAN VW 73-03,180,5,General
G2141-S,AMORTIGUADOR DEL. ,AMORTIGUADOR DEL. BRASILIA 74-81 SEDAN VW 52-03,197,5,General
G2154-S,AMORTIGUADOR TRAS. ,AMORTIGUADOR TRAS. GUAYIN FOCUS 00-06,515,5,General
G2219-S,AMORTIGUADOR DEL. ,AMORTIGUADOR DEL. NISSAN PICK-UP 65-08,279,5,General
G2237-S,AMORTIGUADOR TRAS. ,AMORTIGUADOR TRAS. GOLF A2 87-92 GOLF A3 93-99 JETTA A2 87-92 JETTA A3 93-99,313,5,General
G2276-S,AMORTIGUADOR DEL.,AMORTIGUADOR DEL. ASTRO MINIVAN 98-05 CAPRICE 67-82 EXPRESS VAN G-2500 96-08 EXPRESS VAN G-3500 96-17 IMPALA 67-82 RAM-50 4X4 82-94 CROWN VICTORIA 75-06 GALAXIE 65-78 GRAND MARQUIS 75-02 LTD 67-84 SAFARI MINIVAN 90-05 TOWN CAR 75-02,369,5,General
G2280-S,AMORTIGUADOR TRAS.,AMORTIGUADOR TRAS. C-10 63-72 C-30 63-72 JEEP CJ7 4X4 68-87 WAGONEER 68-92 WAGONEER 68-92 FRONTIER 98-02 ICHI VAN 87-93 NISSAN PICK-UP 94-08 TOYOTA PICK-UP 86-95,329,5,General
G2291-S,AMORTIGUADOR TRAS,AMORTIGUADOR TRAS. CHEVY 94-12 CORSA 02-09 MONZA 94-11 TIGRA 94-00,262,5,General
G2322-S,AMORTIGUADOR TRAS. ,AMORTIGUADOR TRAS. SENTRA 96-00,535,5,General
G2369-S,AMORTIGUADOR TRAS.,AMORTIGUADOR TRAS. GOL 09-21 GOL 09-21 POINTER 98-09 POINTER 98-09,425,5,General
G2386-S,AMORTIGUADOR TRAS.,AMORTIGUADOR TRAS. C/TOPE FIESTA (BRASIL) 03-11,579,5,General
G2430-S,AMORTIGUADOR TRAS.,AMORTIGUADOR TRAS. A3 96-02 LEON 01-06 TOLEDO 01-06 BEETLE 99-11 GOLF A4 99-10 JETTA A4 99-14 JETTA CLASICO 10-14,437,5,General
G2438-S,AMORTIGUADOR TRAS.,AMORTIGUADOR TRAS. UPLANDER 05-09 VENTURE VAN 97-03 SILHOUETTE MINIVAN 97-03 AZTEK 97-05 MONTANA 99-05 MONTANA 06-09,532,5,General
G2454-S,AMORTIGUADOR TRAS. ,AMORTIGUADOR TRAS. SENTRA 01-06,564,5,General
G2472-S,AMORTIGUADOR TRAS. ,AMORTIGUADOR TRAS. PEUGEOT 206 00-08 PEUGEOT 207 00-08 PEUGEOT 207 COMPACT 08-11,585,5,General
G2480-S,AMORTIGUADOR TRAS. ,AMORTIGUADOR TRAS. PLATINA 02-10 CLIO 02-08,472,5,General
G2481-S,AMORTIGUADOR TRAS. ,AMORTIGUADOR TRAS. CORDOBA(SEAT) 01-02 IBIZA 01-02 DERBY 01-07,396,5,General
G2482-S,AMORTIGUADOR TRAS.,AMORTIGUADOR TRAS. ATOS 02-12,335,5,General
G2496-S,AMORTIGUADOR TRAS.,AMORTIGUADOR TRAS. ALMERA 01-06,585,5,General
G2593-S,AMORTIGUADOR TRAS. ,AMORTIGUADOR TRAS. POINTER PICKUP 02-10,435,5,General
G5020-S,AMORTIGUADOR TRAS. ,AMORTIGUADOR TRAS. D-50 79-94 RAM-50 79-91 RAM-50 4X4 82-94 F-100 61-79 F-250 72-79 F-350 71-79 JEEP CJ7 4X4 68-87 FRONTIER 00-02 FRONTIER 4X4 98-02 URVAN 99-01 URVAN 02-12,465,5,General
G5039-S,AMORTIGUADOR DEL. ,AMORTIGUADOR DEL. C-10 63-72 C-15 73-91 C-30 63-81 C-35 73-91,436,5,General
G5053-S,AMORTIGUADOR DEL. ,AMORTIGUADOR DEL. BRONCO II 87-90 BRONCO II 4X4 80-96 BRONCO U150 4X4 80-96 F-150 80-96 F-200 80-97 F-250 80-96 F-350 80-98 RANGER 83-89 RANGER 4X4 83-89 URVAN 99-01,451,5,General
G5054-S,AMORTIGUADOR TRAS. ,AMORTIGUADOR TRAS. BRONCO II 87-90 BRONCO II 4X4 80-96 BRONCO U150 4X4 80-96 F-150 80-96 F-200 80-97 F-250 80-96 F-250 SUPER DUTY 4X4 99-09 F-350 80-98 F-350 SUPER DUTY 99-06 F-350 SUPER DUTY 4X4 99-09 F-450 93-96 RANGER 83-89 RANGER 90-97 RANGER 4X4 83-89,451,5,General
G5091-S,AMORTIGUADOR DEL. ,AMORTIGUADOR DEL. ASTRO MINIVAN 85-97 C-1500 88-99 C-2500 88-99 C-3500 88-99 EXPRESS VAN G-1500 96-08 SILVERADO 1500 95-00 SS-400 88-99 SUBURBAN 1500 92-99 SAVANA VAN G-3500 96-02 SIERRA 1500 99-06,428,5,General
G5092-S,AMORTIGUADOR TRAS. ,AMORTIGUADOR TRAS. C-1500 88-99 C-2500 88-99 C-3500 88-99 SS-400 88-99,473,5,General
G5096-S,AMORTIGUADOR DEL.,AMORTIGUADOR DEL. BLAZER 82-04 BLAZER S-10 83-04 S-10 PICKUP 83-04 SONOMA 94-04 S-15 JIMMY 83-04 HOMBRE 96-00,411,5,General
G5100-S,AMORTIGUADOR TRAS. ,AMORTIGUADOR TRAS. CHEYENNE 00-06 SILVERADO 1500 99-06 SILVERADO 2500 00-06 RAM CHARGER 94-03 RAM-1500 4X2 94-02 RAM-1500 4X4 EJE SOLIDO 94-02 94-02 RAM-2500 4X2 SUSP. INDEPEN. 94-02 94-02 RAM-2500 4X4 EJE SOLIDO 94-99 8 BIRLOS 94-99 RAM-3500 4X2 EJE SOLIDO 94-02 94-03 RAM-3500 4X2 SUSP. INDEPEN. 94-02 94-02 RAM-3500 4X4 SUSP. INDEPEN. 03-11 RAM-50 94-98 SIERRA 1500 99-06,531,5,General
G5106-S,AMORTIGUADOR TRAS.,AMORTIGUADOR TRAS. GRAND CARAVAN 86-07 GRAND VOYAGER 91-96 TOWN & COUNTRY 86-07 VOYAGER 86-07 CARAVAN 86-07 AEROSTAR 86-97 AEROSTAR 4X4 86-97,477,5,General
G5107-S,AMORTIGUADOR DEL.,AMORTIGUADOR DEL. E-150 92-07 RANGER 90-97 RANGER 4X4 90-97,517,5,General
G5115-S,AMORTIGUADOR TRAS. ,AMORTIGUADOR TRAS. CLUB WAGON 98-01 E-100 75-91 E-150 92-07 E-250 92-14 E-350 92-14 F-150 75-79,516,5,General
G5153-S,AMORTIGUADOR TRAS. ,AMORTIGUADOR TRAS. ASTRO MINIVAN 79-97 B-150 79-04 B-200 70-78 B-250 79-04 B-350 79-04 RAM WAGON 1500 94-96,522,5,General
G5170-S,AMORTIGUADOR TRAS. ,AMORTIGUADOR TRAS. ASTRO MINIVAN 98-05 ASTRO MINIVAN 4X4 90-05 SAFARI MINIVAN 90-05 SAFARI MINIVAN 4X4 90-05,510,5,General
G5172-S,AMORTIGUADOR TRAS. ,AMORTIGUADOR TRAS. ESCAPE 01-12 ESCAPE 4X4 01-12 TRIBUTE 01-10,586,5,General
